case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
0	uniform	3	7	0.0001	0.1859550247900188	0.676268	0.567026	0.155339	0.353057	0.21396900000000002	0.1755059999999999
0	uniform	3	15	0.0001	0.186449964530766	0.707077	0.58659	0.158312	0.37013	0.21645999999999993	0.17795699999999995
0	uniform	3	23	0.0001	0.19528699340298772	0.601637	0.493708	0.159736	0.279751	0.21395699999999995	0.17588100000000004
0	uniform	4	0	0.001	0.041760969907045364	0.427737	0.42509	0.135784	0.28897	0.13612000000000002	0.11367000000000001
0	uniform	4	7	0.001	0.040045997593551874	0.431486	0.271842	0.124196	0.133426	0.13841599999999998	0.11776800000000003
0	uniform	4	15	0.001	0.040723010897636414	0.455012	0.354676	0.152132	0.156173	0.19850299999999999	0.17444700000000007
0	uniform	4	23	0.001	0.040440005250275135	0.398898	0.241336	0.109025	0.114289	0.127047	0.10421300000000001
0	uniform	4	0	0.0001	0.06836297689005733	0.474695	0.468376	0.176965	0.291668	0.17670800000000003	0.14844799999999994
0	uniform	4	7	0.0001	0.06855500396341085	0.490768	0.35001	0.184063	0.138694	0.21131599999999998	0.18392299999999992
0	uniform	4	15	0.0001	0.06930803647264838	0.555677	0.477766	0.246311	0.156349	0.32141700000000006	0.28606299999999985
0	uniform	4	23	0.0001	0.0681550009176135	0.460999	0.321787	0.168502	0.116327	0.20545999999999998	0.175678
1	linear	0	0	0.001	1.313503016717732	0.38418	0.38314	0.115062	0.267454	0.11568599999999996	0.08972799999999999
1	linear	0	7	0.001	1.2200840283185244	0.371508	0.235468	0.112415	0.090627	0.144841	0.12173099999999998
1	linear	0	15	0.001	1.2237070477567613	0.383425	0.232291	0.114343	0.09002	0.14227099999999998	0.11861000000000001
1	linear	0	23	0.001	1.1514489888213575	0.375136	0.227639	0.113173	0.089657	0.137982	0.11463399999999997
1	linear	0	0	0.0001	6.649411981925368	0.45721	0.456745	0.185508	0.269254	0.18749100000000002	0.14971399999999999
1	linear	0	7	0.0001	6.5818760194815695	0.430452	0.295916	0.172202	0.090984	0.204932	0.17478699999999994
1	linear	0	15	0.0001	5.750985990744084	0.442944	0.297461	0.174342	0.089666	0.20779499999999998	0.17771099999999995
1	linear	0	23	0.0001	5.185196991078556	0.433321	0.294556	0.169835	0.091596	0.20295999999999997	0.1726369999999999
1	linear	1	0	0.001	1.1245060013607144	0.61966	0.624469	0.115513	0.507564	0.11690500000000004	0.093003
1	linear	1	7	0.001	1.1387969716452062	0.606695	0.466151	0.113666	0.323853	0.14229799999999998	0.120267
